Krum Server | INFO flwr 2024-03-20 13:28:54,716 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
Krum Server | INFO flwr 2024-03-20 13:28:54,740 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
Krum Server | INFO flwr 2024-03-20 13:28:54,740 | server.py:89 | Initializing global parameters
Krum Server | INFO flwr 2024-03-20 13:28:54,740 | server.py:276 | Requesting initial parameters from one random client
Krum Server | INFO flwr 2024-03-20 13:32:40,864 | server.py:280 | Received initial parameters from one random client
Krum Server | INFO flwr 2024-03-20 13:32:40,864 | server.py:91 | Evaluating initial parameters
Krum Server | INFO flwr 2024-03-20 13:32:40,896 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
Krum Server | INFO flwr 2024-03-20 13:32:40,900 | server.py:104 | FL starting
Krum Server | DEBUG flwr 2024-03-20 13:32:47,474 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 13:32:48,150 | server.py:236 | fit_round 1 received 2 results and 0 failures
Krum Server | WARNING flwr 2024-03-20 13:32:48,152 | krum.py:153 | No fit_metrics_aggregation_fn provided
Krum Server | INFO flwr 2024-03-20 13:32:48,176 | server.py:125 | fit progress: (1, 0.9304214729958746, {'accuracy': 0.5768}, 7.275392783922143)
Krum Server | DEBUG flwr 2024-03-20 13:32:48,180 | server.py:173 | evaluate_round 1: strategy sampled 116 clients (out of 116)
Krum Server | DEBUG flwr 2024-03-20 13:32:53,191 | server.py:187 | evaluate_round 1 received 116 results and 0 failures
Krum Server | WARNING flwr 2024-03-20 13:32:53,191 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
Krum Server | DEBUG flwr 2024-03-20 13:32:53,191 | server.py:222 | fit_round 2: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:32:54,450 | server.py:236 | fit_round 2 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:32:54,626 | server.py:125 | fit progress: (2, 0.8730924997675468, {'accuracy': 0.579}, 13.72589314088691)
Krum Server | DEBUG flwr 2024-03-20 13:32:54,627 | server.py:173 | evaluate_round 2: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:32:55,680 | server.py:187 | evaluate_round 2 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:32:55,681 | server.py:222 | fit_round 3: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:32:56,598 | server.py:236 | fit_round 3 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:32:56,921 | server.py:125 | fit progress: (3, 0.8582938126241697, {'accuracy': 0.5888}, 16.02104198897723)
Krum Server | DEBUG flwr 2024-03-20 13:32:56,924 | server.py:173 | evaluate_round 3: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:32:58,053 | server.py:187 | evaluate_round 3 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:32:58,054 | server.py:222 | fit_round 4: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:32:59,080 | server.py:236 | fit_round 4 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:32:59,405 | server.py:125 | fit progress: (4, 0.8535031379867545, {'accuracy': 0.5849}, 18.504704894963652)
Krum Server | DEBUG flwr 2024-03-20 13:32:59,407 | server.py:173 | evaluate_round 4: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:00,553 | server.py:187 | evaluate_round 4 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:00,553 | server.py:222 | fit_round 5: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:01,505 | server.py:236 | fit_round 5 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:01,794 | server.py:125 | fit progress: (5, 0.8462363122539769, {'accuracy': 0.5896}, 20.893614893895574)
Krum Server | DEBUG flwr 2024-03-20 13:33:01,797 | server.py:173 | evaluate_round 5: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:02,841 | server.py:187 | evaluate_round 5 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:02,842 | server.py:222 | fit_round 6: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:03,741 | server.py:236 | fit_round 6 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:04,060 | server.py:125 | fit progress: (6, 0.8545751406390817, {'accuracy': 0.5842}, 23.159528286894783)
Krum Server | DEBUG flwr 2024-03-20 13:33:04,063 | server.py:173 | evaluate_round 6: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:05,248 | server.py:187 | evaluate_round 6 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:05,249 | server.py:222 | fit_round 7: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:06,160 | server.py:236 | fit_round 7 received 190 results and 0 failures
