FedAvg Server | INFO flwr 2024-03-19 17:20:19,434 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedAvg Server | INFO flwr 2024-03-19 17:20:19,456 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedAvg Server | INFO flwr 2024-03-19 17:20:19,457 | server.py:89 | Initializing global parameters
FedAvg Server | INFO flwr 2024-03-19 17:20:19,457 | server.py:276 | Requesting initial parameters from one random client
FedAvg Server | INFO flwr 2024-03-19 17:21:36,968 | server.py:280 | Received initial parameters from one random client
FedAvg Server | INFO flwr 2024-03-19 17:21:36,968 | server.py:91 | Evaluating initial parameters
FedAvg Server | INFO flwr 2024-03-19 17:21:37,004 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedAvg Server | INFO flwr 2024-03-19 17:21:37,005 | server.py:104 | FL starting
FedAvg Server | DEBUG flwr 2024-03-19 17:21:43,362 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-19 17:21:43,377 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedAvg Server | WARNING flwr 2024-03-19 17:21:43,378 | fedavg.py:250 | No fit_metrics_aggregation_fn provided
FedAvg Server | INFO flwr 2024-03-19 17:21:43,401 | server.py:125 | fit progress: (1, 0.944114962086998, {'accuracy': 0.5572}, 6.3950079310452566)
FedAvg Server | DEBUG flwr 2024-03-19 17:21:43,405 | server.py:173 | evaluate_round 1: strategy sampled 50 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-19 17:21:44,061 | server.py:187 | evaluate_round 1 received 50 results and 0 failures
FedAvg Server | WARNING flwr 2024-03-19 17:21:44,061 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedAvg Server | DEBUG flwr 2024-03-19 17:21:44,062 | server.py:222 | fit_round 2: strategy sampled 50 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-19 17:21:44,257 | server.py:236 | fit_round 2 received 50 results and 0 failures
FedAvg Server | INFO flwr 2024-03-19 17:21:44,296 | server.py:125 | fit progress: (2, 0.8983707797710695, {'accuracy': 0.5545}, 7.289929536986165)
FedAvg Server | DEBUG flwr 2024-03-19 17:21:44,299 | server.py:173 | evaluate_round 2: strategy sampled 50 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-19 17:21:44,501 | server.py:187 | evaluate_round 2 received 50 results and 0 failures
FedAvg Server | DEBUG flwr 2024-03-19 17:21:44,502 | server.py:222 | fit_round 3: strategy sampled 50 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-19 17:21:44,655 | server.py:236 | fit_round 3 received 50 results and 0 failures
FedAvg Server | INFO flwr 2024-03-19 17:21:44,693 | server.py:125 | fit progress: (3, 0.9017196373688076, {'accuracy': 0.6164}, 7.686757268034853)
FedAvg Server | DEBUG flwr 2024-03-19 17:21:44,696 | server.py:173 | evaluate_round 3: strategy sampled 50 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-19 17:21:44,903 | server.py:187 | evaluate_round 3 received 50 results and 0 failures
