Krum Server | INFO flwr 2024-03-20 02:56:44,527 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
Krum Server | INFO flwr 2024-03-20 02:56:44,549 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
Krum Server | INFO flwr 2024-03-20 02:56:44,549 | server.py:89 | Initializing global parameters
Krum Server | INFO flwr 2024-03-20 02:56:44,549 | server.py:276 | Requesting initial parameters from one random client
Krum Server | INFO flwr 2024-03-20 02:58:06,170 | server.py:280 | Received initial parameters from one random client
Krum Server | INFO flwr 2024-03-20 02:58:06,170 | server.py:91 | Evaluating initial parameters
Krum Server | INFO flwr 2024-03-20 02:58:06,203 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
Krum Server | INFO flwr 2024-03-20 02:58:06,207 | server.py:104 | FL starting
Krum Server | DEBUG flwr 2024-03-20 02:58:10,623 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:10,681 | server.py:236 | fit_round 1 received 2 results and 0 failures
Krum Server | WARNING flwr 2024-03-20 02:58:10,683 | krum.py:153 | No fit_metrics_aggregation_fn provided
Krum Server | INFO flwr 2024-03-20 02:58:10,708 | server.py:125 | fit progress: (1, 0.9731355447149461, {'accuracy': 0.544}, 4.5007913910085335)
Krum Server | DEBUG flwr 2024-03-20 02:58:10,711 | server.py:173 | evaluate_round 1: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:11,649 | server.py:187 | evaluate_round 1 received 50 results and 0 failures
Krum Server | WARNING flwr 2024-03-20 02:58:11,649 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
Krum Server | DEBUG flwr 2024-03-20 02:58:11,650 | server.py:222 | fit_round 2: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:11,996 | server.py:236 | fit_round 2 received 50 results and 0 failures
Krum Server | INFO flwr 2024-03-20 02:58:12,052 | server.py:125 | fit progress: (2, 0.968829216243277, {'accuracy': 0.5281}, 5.844356584944762)
Krum Server | DEBUG flwr 2024-03-20 02:58:12,055 | server.py:173 | evaluate_round 2: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:12,287 | server.py:187 | evaluate_round 2 received 50 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 02:58:12,287 | server.py:222 | fit_round 3: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:12,441 | server.py:236 | fit_round 3 received 50 results and 0 failures
Krum Server | INFO flwr 2024-03-20 02:58:12,506 | server.py:125 | fit progress: (3, 0.980125235774252, {'accuracy': 0.5868}, 6.298848566948436)
Krum Server | DEBUG flwr 2024-03-20 02:58:12,509 | server.py:173 | evaluate_round 3: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:12,683 | server.py:187 | evaluate_round 3 received 50 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 02:58:12,684 | server.py:222 | fit_round 4: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:12,820 | server.py:236 | fit_round 4 received 50 results and 0 failures
Krum Server | INFO flwr 2024-03-20 02:58:12,881 | server.py:125 | fit progress: (4, 0.8546908553151188, {'accuracy': 0.5934}, 6.674190380028449)
Krum Server | DEBUG flwr 2024-03-20 02:58:12,884 | server.py:173 | evaluate_round 4: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:13,074 | server.py:187 | evaluate_round 4 received 50 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 02:58:13,074 | server.py:222 | fit_round 5: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:13,204 | server.py:236 | fit_round 5 received 50 results and 0 failures
Krum Server | INFO flwr 2024-03-20 02:58:13,268 | server.py:125 | fit progress: (5, 0.8702217968546138, {'accuracy': 0.5796}, 7.06079812895041)
Krum Server | DEBUG flwr 2024-03-20 02:58:13,270 | server.py:173 | evaluate_round 5: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:13,456 | server.py:187 | evaluate_round 5 received 50 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 02:58:13,456 | server.py:222 | fit_round 6: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:13,620 | server.py:236 | fit_round 6 received 50 results and 0 failures
Krum Server | INFO flwr 2024-03-20 02:58:13,760 | server.py:125 | fit progress: (6, 0.8396915471524553, {'accuracy': 0.5952}, 7.552703317953274)
Krum Server | DEBUG flwr 2024-03-20 02:58:13,765 | server.py:173 | evaluate_round 6: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:13,937 | server.py:187 | evaluate_round 6 received 50 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 02:58:13,937 | server.py:222 | fit_round 7: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:14,069 | server.py:236 | fit_round 7 received 50 results and 0 failures
Krum Server | INFO flwr 2024-03-20 02:58:14,126 | server.py:125 | fit progress: (7, 0.8505181900725869, {'accuracy': 0.5936}, 7.918604447040707)
Krum Server | DEBUG flwr 2024-03-20 02:58:14,129 | server.py:173 | evaluate_round 7: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:14,310 | server.py:187 | evaluate_round 7 received 50 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 02:58:14,311 | server.py:222 | fit_round 8: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:14,446 | server.py:236 | fit_round 8 received 50 results and 0 failures
Krum Server | INFO flwr 2024-03-20 02:58:14,494 | server.py:125 | fit progress: (8, 0.8341377364677784, {'accuracy': 0.6046}, 8.28665856400039)
Krum Server | DEBUG flwr 2024-03-20 02:58:14,495 | server.py:173 | evaluate_round 8: strategy sampled 50 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 02:58:14,675 | server.py:187 | evaluate_round 8 received 50 results and 0 failures
