FedTrimmedAvg Server | INFO flwr 2024-03-20 02:39:57,177 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:39:57,186 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:39:57,186 | server.py:89 | Initializing global parameters
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:39:57,186 | server.py:276 | Requesting initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:40:48,684 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:40:48,694 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:40:48,694 | server.py:89 | Initializing global parameters
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:40:48,694 | server.py:276 | Requesting initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:08,061 | server.py:280 | Received initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:08,061 | server.py:91 | Evaluating initial parameters
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:08,083 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:08,083 | server.py:104 | FL starting
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:15,405 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:15,434 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-03-20 02:42:15,436 | fedtrimmedavg.py:142 | No fit_metrics_aggregation_fn provided
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:15,458 | server.py:125 | fit progress: (1, 0.9520892336710096, {'accuracy': 0.5588}, 7.374290729989298)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:15,462 | server.py:173 | evaluate_round 1: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:16,033 | server.py:187 | evaluate_round 1 received 50 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-03-20 02:42:16,033 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:16,034 | server.py:222 | fit_round 2: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:16,216 | server.py:236 | fit_round 2 received 50 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:16,247 | server.py:125 | fit progress: (2, 0.9100490074304369, {'accuracy': 0.543}, 8.163409712957218)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:16,252 | server.py:173 | evaluate_round 2: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:16,438 | server.py:187 | evaluate_round 2 received 50 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:16,439 | server.py:222 | fit_round 3: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:16,610 | server.py:236 | fit_round 3 received 50 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:16,645 | server.py:125 | fit progress: (3, 0.8730004951777972, {'accuracy': 0.5969}, 8.560743017005734)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:16,648 | server.py:173 | evaluate_round 3: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:16,828 | server.py:187 | evaluate_round 3 received 50 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:16,829 | server.py:222 | fit_round 4: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:16,971 | server.py:236 | fit_round 4 received 50 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:17,009 | server.py:125 | fit progress: (4, 0.8336826430112946, {'accuracy': 0.6056}, 8.92506538098678)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:17,011 | server.py:173 | evaluate_round 4: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:17,181 | server.py:187 | evaluate_round 4 received 50 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:17,181 | server.py:222 | fit_round 5: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:17,315 | server.py:236 | fit_round 5 received 50 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:17,337 | server.py:125 | fit progress: (5, 0.8378483979503759, {'accuracy': 0.5905}, 9.253398329019547)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:17,338 | server.py:173 | evaluate_round 5: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:17,515 | server.py:187 | evaluate_round 5 received 50 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:17,516 | server.py:222 | fit_round 6: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:17,656 | server.py:236 | fit_round 6 received 50 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:17,693 | server.py:125 | fit progress: (6, 0.8272773178374935, {'accuracy': 0.6006}, 9.608641808968969)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:17,696 | server.py:173 | evaluate_round 6: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:17,872 | server.py:187 | evaluate_round 6 received 50 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:17,872 | server.py:222 | fit_round 7: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,008 | server.py:236 | fit_round 7 received 50 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:18,035 | server.py:125 | fit progress: (7, 0.8356590581894375, {'accuracy': 0.5962}, 9.95068986795377)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,036 | server.py:173 | evaluate_round 7: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,212 | server.py:187 | evaluate_round 7 received 50 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,212 | server.py:222 | fit_round 8: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,349 | server.py:236 | fit_round 8 received 50 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:18,371 | server.py:125 | fit progress: (8, 0.8244828511832849, {'accuracy': 0.6014}, 10.28662050398998)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,372 | server.py:173 | evaluate_round 8: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,537 | server.py:187 | evaluate_round 8 received 50 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,537 | server.py:222 | fit_round 9: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,675 | server.py:236 | fit_round 9 received 50 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:18,712 | server.py:125 | fit progress: (9, 0.8328160048299563, {'accuracy': 0.5983}, 10.627904837951064)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,713 | server.py:173 | evaluate_round 9: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,885 | server.py:187 | evaluate_round 9 received 50 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:18,886 | server.py:222 | fit_round 10: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:19,018 | server.py:236 | fit_round 10 received 50 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:19,046 | server.py:125 | fit progress: (10, 0.8231717047184935, {'accuracy': 0.6026}, 10.962186777964234)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:19,047 | server.py:173 | evaluate_round 10: strategy sampled 50 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 02:42:19,223 | server.py:187 | evaluate_round 10 received 50 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:19,224 | server.py:153 | FL finished in 11.139927068026736
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:19,224 | app.py:226 | app_fit: losses_distributed [(1, 0.9751284205913544), (2, 0.9160079681873321), (3, 0.8823019742965699), (4, 0.8330887079238891), (5, 0.8431334805488586), (6, 0.8299198389053345), (7, 0.840763509273529), (8, 0.8362490451335907), (9, 0.841768147945404), (10, 0.8310196757316589)]
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:19,224 | app.py:227 | app_fit: metrics_distributed_fit {}
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:19,224 | app.py:228 | app_fit: metrics_distributed {}
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:19,224 | app.py:229 | app_fit: losses_centralized [(0, 1.0986122886681096), (1, 0.9520892336710096), (2, 0.9100490074304369), (3, 0.8730004951777972), (4, 0.8336826430112946), (5, 0.8378483979503759), (6, 0.8272773178374935), (7, 0.8356590581894375), (8, 0.8244828511832849), (9, 0.8328160048299563), (10, 0.8231717047184935)]
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:19,224 | app.py:230 | app_fit: metrics_centralized {'accuracy': [(0, 0.2894), (1, 0.5588), (2, 0.543), (3, 0.5969), (4, 0.6056), (5, 0.5905), (6, 0.6006), (7, 0.5962), (8, 0.6014), (9, 0.5983), (10, 0.6026)]}
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:24,496 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:24,506 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:24,507 | server.py:89 | Initializing global parameters
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:42:24,507 | server.py:276 | Requesting initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:43:44,656 | server.py:280 | Received initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:43:44,656 | server.py:91 | Evaluating initial parameters
FedTrimmedAvg Server | INFO flwr 2024-03-20 02:43:44,682 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
