Loop 1
Starting FedTrimmedAvg server
INFO flwr 2024-03-20 02:40:48,684 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
INFO flwr 2024-03-20 02:40:48,694 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
INFO flwr 2024-03-20 02:40:48,694 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-20 02:40:48,694 | server.py:276 | Requesting initial parameters from one random client
INFO flwr 2024-03-20 02:42:08,061 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-20 02:42:08,061 | server.py:91 | Evaluating initial parameters
INFO flwr 2024-03-20 02:42:08,083 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
INFO flwr 2024-03-20 02:42:08,083 | server.py:104 | FL starting
DEBUG flwr 2024-03-20 02:42:15,405 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:15,434 | server.py:236 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2024-03-20 02:42:15,436 | fedtrimmedavg.py:142 | No fit_metrics_aggregation_fn provided
INFO flwr 2024-03-20 02:42:15,458 | server.py:125 | fit progress: (1, 0.9520892336710096, {'accuracy': 0.5588}, 7.374290729989298)
DEBUG flwr 2024-03-20 02:42:15,462 | server.py:173 | evaluate_round 1: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:16,033 | server.py:187 | evaluate_round 1 received 50 results and 0 failures
WARNING flwr 2024-03-20 02:42:16,033 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
DEBUG flwr 2024-03-20 02:42:16,034 | server.py:222 | fit_round 2: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:16,216 | server.py:236 | fit_round 2 received 50 results and 0 failures
INFO flwr 2024-03-20 02:42:16,247 | server.py:125 | fit progress: (2, 0.9100490074304369, {'accuracy': 0.543}, 8.163409712957218)
DEBUG flwr 2024-03-20 02:42:16,252 | server.py:173 | evaluate_round 2: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:16,438 | server.py:187 | evaluate_round 2 received 50 results and 0 failures
DEBUG flwr 2024-03-20 02:42:16,439 | server.py:222 | fit_round 3: strategy sampled 50 clients (out of 100)
DEBUG flwr 2024-03-20 02:42:16,610 | server.py:236 | fit_round 3 received 50 results and 0 failures
INFO flwr 2024-03-20 02:42:16,645 | server.py:125 | fit progress: (3, 0.8730004951777972, {'accuracy': 0.5969}, 8.560743017005734)
DEBUG flwr 2024-03-20 02:42:16,648 | server.py:173 | evaluate_round 3: strategy sampled 50 clients (out of 100)
