FedAvg Server | INFO flwr 2024-04-02 09:23:39,960 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedAvg Server | INFO flwr 2024-04-02 09:23:39,971 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedAvg Server | INFO flwr 2024-04-02 09:23:39,971 | server.py:89 | Initializing global parameters
FedAvg Server | INFO flwr 2024-04-02 09:23:39,971 | server.py:276 | Requesting initial parameters from one random client
FedAvg Server | INFO flwr 2024-04-02 09:23:45,919 | server.py:280 | Received initial parameters from one random client
FedAvg Server | INFO flwr 2024-04-02 09:23:45,919 | server.py:91 | Evaluating initial parameters
FedAvg Server | INFO flwr 2024-04-02 09:23:45,951 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedAvg Server | INFO flwr 2024-04-02 09:23:45,955 | server.py:104 | FL starting
FedAvg Server | DEBUG flwr 2024-04-02 09:23:57,817 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-04-02 09:23:57,869 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedAvg Server | WARNING flwr 2024-04-02 09:23:57,869 | fedavg.py:250 | No fit_metrics_aggregation_fn provided
FedAvg Server | INFO flwr 2024-04-02 09:23:57,886 | server.py:125 | fit progress: (1, 0.9483370059294237, {'accuracy': 0.5582}, 11.930265319999307)
FedAvg Server | DEBUG flwr 2024-04-02 09:23:57,887 | server.py:173 | evaluate_round 1: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:00,998 | server.py:187 | evaluate_round 1 received 100 results and 0 failures
FedAvg Server | WARNING flwr 2024-04-02 09:24:00,999 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedAvg Server | DEBUG flwr 2024-04-02 09:24:00,999 | server.py:222 | fit_round 2: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:01,851 | server.py:236 | fit_round 2 received 100 results and 0 failures
FedAvg Server | INFO flwr 2024-04-02 09:24:01,902 | server.py:125 | fit progress: (2, 0.9114184210386779, {'accuracy': 0.5472}, 15.946638531051576)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:01,905 | server.py:173 | evaluate_round 2: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:02,906 | server.py:187 | evaluate_round 2 received 100 results and 0 failures
FedAvg Server | DEBUG flwr 2024-04-02 09:24:02,906 | server.py:222 | fit_round 3: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:03,752 | server.py:236 | fit_round 3 received 100 results and 0 failures
FedAvg Server | INFO flwr 2024-04-02 09:24:03,799 | server.py:125 | fit progress: (3, 0.883376844312054, {'accuracy': 0.5998}, 17.843031777068973)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:03,803 | server.py:173 | evaluate_round 3: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:04,783 | server.py:187 | evaluate_round 3 received 100 results and 0 failures
FedAvg Server | DEBUG flwr 2024-04-02 09:24:04,784 | server.py:222 | fit_round 4: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:05,544 | server.py:236 | fit_round 4 received 100 results and 0 failures
FedAvg Server | INFO flwr 2024-04-02 09:24:05,595 | server.py:125 | fit progress: (4, 0.8343218554190819, {'accuracy': 0.6036}, 19.639640188077465)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:05,598 | server.py:173 | evaluate_round 4: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:06,597 | server.py:187 | evaluate_round 4 received 100 results and 0 failures
FedAvg Server | DEBUG flwr 2024-04-02 09:24:06,598 | server.py:222 | fit_round 5: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:07,351 | server.py:236 | fit_round 5 received 100 results and 0 failures
FedAvg Server | INFO flwr 2024-04-02 09:24:07,391 | server.py:125 | fit progress: (5, 0.8380127233081708, {'accuracy': 0.5906}, 21.435448859003372)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:07,395 | server.py:173 | evaluate_round 5: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:08,428 | server.py:187 | evaluate_round 5 received 100 results and 0 failures
FedAvg Server | DEBUG flwr 2024-04-02 09:24:08,429 | server.py:222 | fit_round 6: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-04-02 09:24:09,151 | server.py:236 | fit_round 6 received 100 results and 0 failures
FedAvg Server | INFO flwr 2024-04-02 09:24:09,179 | server.py:125 | fit progress: (6, 0.8277390419240912, {'accuracy': 0.5998}, 23.223467061994597)
