FedKrum Server | INFO flwr 2024-04-02 10:51:48,519 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedKrum Server | INFO flwr 2024-04-02 10:51:48,528 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedKrum Server | INFO flwr 2024-04-02 10:51:48,528 | server.py:89 | Initializing global parameters
FedKrum Server | INFO flwr 2024-04-02 10:51:48,528 | server.py:276 | Requesting initial parameters from one random client
FedKrum Server | INFO flwr 2024-04-02 10:54:37,182 | server.py:280 | Received initial parameters from one random client
FedKrum Server | INFO flwr 2024-04-02 10:54:37,183 | server.py:91 | Evaluating initial parameters
FedKrum Server | INFO flwr 2024-04-02 10:54:37,207 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedKrum Server | INFO flwr 2024-04-02 10:54:37,210 | server.py:104 | FL starting
FedKrum Server | DEBUG flwr 2024-04-02 10:55:54,296 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
FedKrum Server | DEBUG flwr 2024-04-02 10:55:54,649 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedKrum Server | WARNING flwr 2024-04-02 10:55:54,652 | krum.py:153 | No fit_metrics_aggregation_fn provided
FedKrum Server | INFO flwr 2024-04-02 10:55:54,676 | server.py:125 | fit progress: (1, 0.9442516829041029, {'accuracy': 0.5354}, 77.46513571916148)
FedKrum Server | DEBUG flwr 2024-04-02 10:55:54,680 | server.py:173 | evaluate_round 1: strategy sampled 105 clients (out of 105)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:00,068 | server.py:187 | evaluate_round 1 received 105 results and 0 failures
FedKrum Server | WARNING flwr 2024-04-02 10:56:00,068 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedKrum Server | DEBUG flwr 2024-04-02 10:56:00,068 | server.py:222 | fit_round 2: strategy sampled 186 clients (out of 186)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:01,568 | server.py:236 | fit_round 2 received 186 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 10:56:01,881 | server.py:125 | fit progress: (2, 0.9493267750698924, {'accuracy': 0.5524}, 84.66973319114186)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:01,885 | server.py:173 | evaluate_round 2: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:02,710 | server.py:187 | evaluate_round 2 received 187 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 10:56:02,711 | server.py:222 | fit_round 3: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:03,342 | server.py:236 | fit_round 3 received 187 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 10:56:03,641 | server.py:125 | fit progress: (3, 0.9024144102135604, {'accuracy': 0.5805}, 86.4294739922043)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:03,643 | server.py:173 | evaluate_round 3: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:04,478 | server.py:187 | evaluate_round 3 received 187 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 10:56:04,479 | server.py:222 | fit_round 4: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:05,091 | server.py:236 | fit_round 4 received 187 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 10:56:05,358 | server.py:125 | fit progress: (4, 0.9310245769814958, {'accuracy': 0.5619}, 88.14670918602496)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:05,360 | server.py:173 | evaluate_round 4: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:06,191 | server.py:187 | evaluate_round 4 received 187 results and 0 failures
FedKrum Server | DEBUG flwr 2024-04-02 10:56:06,191 | server.py:222 | fit_round 5: strategy sampled 187 clients (out of 187)
FedKrum Server | DEBUG flwr 2024-04-02 10:56:06,816 | server.py:236 | fit_round 5 received 187 results and 0 failures
FedKrum Server | INFO flwr 2024-04-02 10:56:07,123 | server.py:125 | fit progress: (5, 0.905143372829433, {'accuracy': 0.6047}, 89.91189129999839)
