FedTrimmedAvg Server | INFO flwr 2024-04-02 10:05:26,526 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedTrimmedAvg Server | INFO flwr 2024-04-02 10:05:26,535 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedTrimmedAvg Server | INFO flwr 2024-04-02 10:05:26,535 | server.py:89 | Initializing global parameters
FedTrimmedAvg Server | INFO flwr 2024-04-02 10:05:26,535 | server.py:276 | Requesting initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-04-02 10:08:19,735 | server.py:280 | Received initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-04-02 10:08:19,735 | server.py:91 | Evaluating initial parameters
FedTrimmedAvg Server | INFO flwr 2024-04-02 10:08:19,767 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedTrimmedAvg Server | INFO flwr 2024-04-02 10:08:19,771 | server.py:104 | FL starting
FedTrimmedAvg Server | DEBUG flwr 2024-04-02 10:09:33,267 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-04-02 10:09:33,619 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-04-02 10:09:33,621 | fedtrimmedavg.py:142 | No fit_metrics_aggregation_fn provided
FedTrimmedAvg Server | INFO flwr 2024-04-02 10:09:33,638 | server.py:125 | fit progress: (1, 0.96976436568634, {'accuracy': 0.5557}, 73.866271438892)
FedTrimmedAvg Server | DEBUG flwr 2024-04-02 10:09:33,640 | server.py:173 | evaluate_round 1: strategy sampled 109 clients (out of 109)
FedTrimmedAvg Server | DEBUG flwr 2024-04-02 10:09:38,267 | server.py:187 | evaluate_round 1 received 109 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-04-02 10:09:38,268 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedTrimmedAvg Server | DEBUG flwr 2024-04-02 10:09:38,268 | server.py:222 | fit_round 2: strategy sampled 182 clients (out of 182)
FedTrimmedAvg Server | DEBUG flwr 2024-04-02 10:09:39,808 | server.py:236 | fit_round 2 received 182 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-04-02 10:09:39,844 | server.py:125 | fit progress: (2, 0.9090324484364588, {'accuracy': 0.5487}, 80.07244164997246)
FedTrimmedAvg Server | DEBUG flwr 2024-04-02 10:09:39,845 | server.py:173 | evaluate_round 2: strategy sampled 187 clients (out of 187)
