FedTrimmedAvg Server | INFO flwr 2024-03-20 03:42:41,555 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedTrimmedAvg Server | INFO flwr 2024-03-20 03:42:41,570 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedTrimmedAvg Server | INFO flwr 2024-03-20 03:42:41,570 | server.py:89 | Initializing global parameters
FedTrimmedAvg Server | INFO flwr 2024-03-20 03:42:41,571 | server.py:276 | Requesting initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-20 03:43:57,020 | server.py:280 | Received initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-20 03:43:57,020 | server.py:91 | Evaluating initial parameters
FedTrimmedAvg Server | INFO flwr 2024-03-20 03:43:57,052 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedTrimmedAvg Server | INFO flwr 2024-03-20 03:43:57,055 | server.py:104 | FL starting
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 03:44:09,117 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 03:44:09,143 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-03-20 03:44:09,144 | fedtrimmedavg.py:142 | No fit_metrics_aggregation_fn provided
FedTrimmedAvg Server | INFO flwr 2024-03-20 03:44:09,170 | server.py:125 | fit progress: (1, 0.9628620719542298, {'accuracy': 0.5806}, 12.114660841994919)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 03:44:09,173 | server.py:173 | evaluate_round 1: strategy sampled 100 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 03:44:09,936 | server.py:187 | evaluate_round 1 received 100 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-03-20 03:44:09,937 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 03:44:09,937 | server.py:222 | fit_round 2: strategy sampled 100 clients (out of 100)
FedTrimmedAvg Server | DEBUG flwr 2024-03-20 03:44:10,220 | server.py:236 | fit_round 2 received 100 results and 0 failures
