FedAvg Server | INFO flwr 2024-03-19 17:05:25,468 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedAvg Server | INFO flwr 2024-03-19 17:05:25,492 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedAvg Server | INFO flwr 2024-03-19 17:05:25,493 | server.py:89 | Initializing global parameters
FedAvg Server | INFO flwr 2024-03-19 17:05:25,493 | server.py:276 | Requesting initial parameters from one random client
FedAvg Server | INFO flwr 2024-03-19 17:05:36,471 | server.py:280 | Received initial parameters from one random client
FedAvg Server | INFO flwr 2024-03-19 17:05:36,471 | server.py:91 | Evaluating initial parameters
FedAvg Server | INFO flwr 2024-03-19 17:05:36,489 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedAvg Server | INFO flwr 2024-03-19 17:05:36,490 | server.py:104 | FL starting
FedAvg Server | DEBUG flwr 2024-03-19 17:05:36,959 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,063 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedAvg Server | WARNING flwr 2024-03-19 17:05:37,064 | fedavg.py:250 | No fit_metrics_aggregation_fn provided
FedAvg Server | INFO flwr 2024-03-19 17:05:37,079 | server.py:125 | fit progress: (1, 0.9509469981110346, {'accuracy': 0.5694}, 0.5891099040163681)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,080 | server.py:173 | evaluate_round 1: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,216 | server.py:187 | evaluate_round 1 received 10 results and 0 failures
FedAvg Server | WARNING flwr 2024-03-19 17:05:37,216 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,217 | server.py:222 | fit_round 2: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,516 | server.py:236 | fit_round 2 received 10 results and 0 failures
FedAvg Server | INFO flwr 2024-03-19 17:05:37,545 | server.py:125 | fit progress: (2, 0.8514216813518669, {'accuracy': 0.6002}, 1.0543339040596038)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,547 | server.py:173 | evaluate_round 2: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,639 | server.py:187 | evaluate_round 2 received 10 results and 0 failures
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,639 | server.py:222 | fit_round 3: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,872 | server.py:236 | fit_round 3 received 10 results and 0 failures
FedAvg Server | INFO flwr 2024-03-19 17:05:37,893 | server.py:125 | fit progress: (3, 0.8396671925416013, {'accuracy': 0.5947}, 1.4032120009651408)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,896 | server.py:173 | evaluate_round 3: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,971 | server.py:187 | evaluate_round 3 received 10 results and 0 failures
FedAvg Server | DEBUG flwr 2024-03-19 17:05:37,972 | server.py:222 | fit_round 4: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,203 | server.py:236 | fit_round 4 received 10 results and 0 failures
FedAvg Server | INFO flwr 2024-03-19 17:05:38,219 | server.py:125 | fit progress: (4, 0.8312854749347073, {'accuracy': 0.6039}, 1.7285235719755292)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,219 | server.py:173 | evaluate_round 4: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,304 | server.py:187 | evaluate_round 4 received 10 results and 0 failures
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,304 | server.py:222 | fit_round 5: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,538 | server.py:236 | fit_round 5 received 10 results and 0 failures
FedAvg Server | INFO flwr 2024-03-19 17:05:38,566 | server.py:125 | fit progress: (5, 0.8280079042836971, {'accuracy': 0.5993}, 2.075655027059838)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,569 | server.py:173 | evaluate_round 5: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,646 | server.py:187 | evaluate_round 5 received 10 results and 0 failures
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,647 | server.py:222 | fit_round 6: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,864 | server.py:236 | fit_round 6 received 10 results and 0 failures
FedAvg Server | INFO flwr 2024-03-19 17:05:38,890 | server.py:125 | fit progress: (6, 0.8251040696422289, {'accuracy': 0.6067}, 2.399472614051774)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,892 | server.py:173 | evaluate_round 6: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,982 | server.py:187 | evaluate_round 6 received 10 results and 0 failures
FedAvg Server | DEBUG flwr 2024-03-19 17:05:38,982 | server.py:222 | fit_round 7: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:39,189 | server.py:236 | fit_round 7 received 10 results and 0 failures
FedAvg Server | INFO flwr 2024-03-19 17:05:39,206 | server.py:125 | fit progress: (7, 0.8245368966808457, {'accuracy': 0.6017}, 2.716222963994369)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:39,207 | server.py:173 | evaluate_round 7: strategy sampled 10 clients (out of 20)
FedAvg Server | DEBUG flwr 2024-03-19 17:05:39,302 | server.py:187 | evaluate_round 7 received 10 results and 0 failures
