Krum Server | INFO flwr 2024-03-19 17:13:49,915 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
Krum Server | INFO flwr 2024-03-19 17:13:49,923 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
Krum Server | INFO flwr 2024-03-19 17:13:49,923 | server.py:89 | Initializing global parameters
Krum Server | INFO flwr 2024-03-19 17:13:49,924 | server.py:276 | Requesting initial parameters from one random client
Krum Server | INFO flwr 2024-03-19 17:14:03,513 | server.py:280 | Received initial parameters from one random client
Krum Server | INFO flwr 2024-03-19 17:14:03,514 | server.py:91 | Evaluating initial parameters
Krum Server | INFO flwr 2024-03-19 17:14:03,545 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
Krum Server | INFO flwr 2024-03-19 17:14:03,548 | server.py:104 | FL starting
Krum Server | DEBUG flwr 2024-03-19 17:14:03,930 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 20)
Krum Server | DEBUG flwr 2024-03-19 17:14:04,004 | server.py:236 | fit_round 1 received 2 results and 0 failures
Krum Server | WARNING flwr 2024-03-19 17:14:04,005 | krum.py:153 | No fit_metrics_aggregation_fn provided
Krum Server | INFO flwr 2024-03-19 17:14:04,023 | server.py:125 | fit progress: (1, 0.962242372641195, {'accuracy': 0.5713}, 0.47424915398005396)
Krum Server | DEBUG flwr 2024-03-19 17:14:04,023 | server.py:173 | evaluate_round 1: strategy sampled 10 clients (out of 20)
Krum Server | DEBUG flwr 2024-03-19 17:14:04,157 | server.py:187 | evaluate_round 1 received 10 results and 0 failures
Krum Server | WARNING flwr 2024-03-19 17:14:04,158 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
Krum Server | DEBUG flwr 2024-03-19 17:14:04,158 | server.py:222 | fit_round 2: strategy sampled 10 clients (out of 20)
Krum Server | DEBUG flwr 2024-03-19 17:14:04,520 | server.py:236 | fit_round 2 received 10 results and 0 failures
Krum Server | INFO flwr 2024-03-19 17:14:04,556 | server.py:125 | fit progress: (2, 0.8555505587867402, {'accuracy': 0.5986}, 1.0075967470183969)
Krum Server | DEBUG flwr 2024-03-19 17:14:04,564 | server.py:173 | evaluate_round 2: strategy sampled 10 clients (out of 20)
Krum Server | DEBUG flwr 2024-03-19 17:14:04,655 | server.py:187 | evaluate_round 2 received 10 results and 0 failures
Krum Server | DEBUG flwr 2024-03-19 17:14:04,655 | server.py:222 | fit_round 3: strategy sampled 10 clients (out of 20)
Krum Server | DEBUG flwr 2024-03-19 17:14:04,869 | server.py:236 | fit_round 3 received 10 results and 0 failures
Krum Server | INFO flwr 2024-03-19 17:14:04,887 | server.py:125 | fit progress: (3, 0.8496581452442313, {'accuracy': 0.5933}, 1.3384721650509164)
Krum Server | DEBUG flwr 2024-03-19 17:14:04,887 | server.py:173 | evaluate_round 3: strategy sampled 10 clients (out of 20)
Krum Server | DEBUG flwr 2024-03-19 17:14:04,972 | server.py:187 | evaluate_round 3 received 10 results and 0 failures
