FedTrimmedAvg Server | INFO flwr 2024-03-19 17:09:48,176 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:09:48,190 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:09:48,191 | server.py:89 | Initializing global parameters
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:09:48,191 | server.py:276 | Requesting initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:12,930 | server.py:280 | Received initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:12,931 | server.py:91 | Evaluating initial parameters
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:12,962 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:12,965 | server.py:104 | FL starting
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:19,501 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:19,574 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-03-19 17:10:19,575 | fedtrimmedavg.py:142 | No fit_metrics_aggregation_fn provided
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:19,600 | server.py:125 | fit progress: (1, 0.9509728784095505, {'accuracy': 0.5696}, 6.6349120259983465)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:19,604 | server.py:173 | evaluate_round 1: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:19,696 | server.py:187 | evaluate_round 1 received 10 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-03-19 17:10:19,696 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:19,696 | server.py:222 | fit_round 2: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:19,907 | server.py:236 | fit_round 2 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:19,931 | server.py:125 | fit progress: (2, 0.8521846454771476, {'accuracy': 0.5961}, 6.965333170956001)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:19,931 | server.py:173 | evaluate_round 2: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,019 | server.py:187 | evaluate_round 2 received 10 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,019 | server.py:222 | fit_round 3: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,257 | server.py:236 | fit_round 3 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:20,275 | server.py:125 | fit progress: (3, 0.8438184535729564, {'accuracy': 0.5916}, 7.310247299959883)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,276 | server.py:173 | evaluate_round 3: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,356 | server.py:187 | evaluate_round 3 received 10 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,356 | server.py:222 | fit_round 4: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,592 | server.py:236 | fit_round 4 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:20,620 | server.py:125 | fit progress: (4, 0.8341409272395666, {'accuracy': 0.5991}, 7.654967227950692)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,621 | server.py:173 | evaluate_round 4: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,697 | server.py:187 | evaluate_round 4 received 10 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,698 | server.py:222 | fit_round 5: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,923 | server.py:236 | fit_round 5 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:20,940 | server.py:125 | fit progress: (5, 0.8317787502698968, {'accuracy': 0.6001}, 7.974728474044241)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:20,941 | server.py:173 | evaluate_round 5: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,041 | server.py:187 | evaluate_round 5 received 10 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,041 | server.py:222 | fit_round 6: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,277 | server.py:236 | fit_round 6 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:21,299 | server.py:125 | fit progress: (6, 0.8261552259069478, {'accuracy': 0.603}, 8.334181542973965)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,301 | server.py:173 | evaluate_round 6: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,369 | server.py:187 | evaluate_round 6 received 10 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,370 | server.py:222 | fit_round 7: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,599 | server.py:236 | fit_round 7 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:21,621 | server.py:125 | fit progress: (7, 0.8265467987826213, {'accuracy': 0.6044}, 8.655841846950352)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,624 | server.py:173 | evaluate_round 7: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,712 | server.py:187 | evaluate_round 7 received 10 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,712 | server.py:222 | fit_round 8: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,930 | server.py:236 | fit_round 8 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:21,946 | server.py:125 | fit progress: (8, 0.8228757671892385, {'accuracy': 0.6035}, 8.981058205012232)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:21,947 | server.py:173 | evaluate_round 8: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:22,048 | server.py:187 | evaluate_round 8 received 10 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:22,049 | server.py:222 | fit_round 9: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:22,255 | server.py:236 | fit_round 9 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:22,276 | server.py:125 | fit progress: (9, 0.8240209500345156, {'accuracy': 0.5997}, 9.310510759940371)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:22,278 | server.py:173 | evaluate_round 9: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:22,349 | server.py:187 | evaluate_round 9 received 10 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:22,349 | server.py:222 | fit_round 10: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:22,589 | server.py:236 | fit_round 10 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:22,611 | server.py:125 | fit progress: (10, 0.8207399307213787, {'accuracy': 0.6028}, 9.646112552960403)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:22,612 | server.py:173 | evaluate_round 10: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:22,703 | server.py:187 | evaluate_round 10 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:22,703 | server.py:153 | FL finished in 9.73779896798078
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:22,703 | app.py:226 | app_fit: losses_distributed [(1, 0.9662668168544769), (2, 0.8521905660629272), (3, 0.8457755625247956), (4, 0.8429890036582947), (5, 0.8326890766620636), (6, 0.8349252879619599), (7, 0.8279227495193482), (8, 0.8218779325485229), (9, 0.8325340390205384), (10, 0.8231281578540802)]
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:22,704 | app.py:227 | app_fit: metrics_distributed_fit {}
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:22,704 | app.py:228 | app_fit: metrics_distributed {}
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:22,704 | app.py:229 | app_fit: losses_centralized [(0, 1.0986122886681096), (1, 0.9509728784095505), (2, 0.8521846454771476), (3, 0.8438184535729564), (4, 0.8341409272395666), (5, 0.8317787502698968), (6, 0.8261552259069478), (7, 0.8265467987826213), (8, 0.8228757671892385), (9, 0.8240209500345156), (10, 0.8207399307213787)]
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:22,704 | app.py:230 | app_fit: metrics_centralized {'accuracy': [(0, 0.2894), (1, 0.5696), (2, 0.5961), (3, 0.5916), (4, 0.5991), (5, 0.6001), (6, 0.603), (7, 0.6044), (8, 0.6035), (9, 0.5997), (10, 0.6028)]}
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:28,145 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:28,163 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:28,163 | server.py:89 | Initializing global parameters
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:28,164 | server.py:276 | Requesting initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:42,754 | server.py:280 | Received initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:42,754 | server.py:91 | Evaluating initial parameters
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:42,786 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:42,789 | server.py:104 | FL starting
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:43,172 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:43,271 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-03-19 17:10:43,273 | fedtrimmedavg.py:142 | No fit_metrics_aggregation_fn provided
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:43,301 | server.py:125 | fit progress: (1, 0.9493578405753222, {'accuracy': 0.577}, 0.5117933270521462)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:43,302 | server.py:173 | evaluate_round 1: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:43,421 | server.py:187 | evaluate_round 1 received 10 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-03-19 17:10:43,421 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:43,421 | server.py:222 | fit_round 2: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:43,720 | server.py:236 | fit_round 2 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:43,741 | server.py:125 | fit progress: (2, 0.852895736789771, {'accuracy': 0.5932}, 0.9518298209877685)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:43,743 | server.py:173 | evaluate_round 2: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:43,848 | server.py:187 | evaluate_round 2 received 10 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:43,849 | server.py:222 | fit_round 3: strategy sampled 10 clients (out of 20)
FedTrimmedAvg Server | DEBUG flwr 2024-03-19 17:10:44,071 | server.py:236 | fit_round 3 received 10 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-19 17:10:44,088 | server.py:125 | fit progress: (3, 0.8431620718722596, {'accuracy': 0.5914}, 1.298769755056128)
