FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:52,118 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:52,128 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:52,128 | server.py:89 | Initializing global parameters
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:52,129 | server.py:276 | Requesting initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:57,310 | server.py:280 | Received initial parameters from one random client
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:57,310 | server.py:91 | Evaluating initial parameters
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:57,338 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:57,339 | server.py:104 | FL starting
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:57,474 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:57,592 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-03-10 12:36:57,594 | fedtrimmedavg.py:142 | No fit_metrics_aggregation_fn provided
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:57,618 | server.py:125 | fit progress: (1, 0.9470475627103179, {'accuracy': 0.5764}, 0.2778859379977803)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:57,622 | server.py:173 | evaluate_round 1: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:57,685 | server.py:187 | evaluate_round 1 received 3 results and 0 failures
FedTrimmedAvg Server | WARNING flwr 2024-03-10 12:36:57,685 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:57,686 | server.py:222 | fit_round 2: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:57,823 | server.py:236 | fit_round 2 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:57,838 | server.py:125 | fit progress: (2, 0.8510257730309586, {'accuracy': 0.5972}, 0.49756338199949823)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:57,839 | server.py:173 | evaluate_round 2: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:57,889 | server.py:187 | evaluate_round 2 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:57,890 | server.py:222 | fit_round 3: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,028 | server.py:236 | fit_round 3 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:58,044 | server.py:125 | fit progress: (3, 0.8408117047234517, {'accuracy': 0.5918}, 0.7042345729969384)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,045 | server.py:173 | evaluate_round 3: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,086 | server.py:187 | evaluate_round 3 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,086 | server.py:222 | fit_round 4: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,209 | server.py:236 | fit_round 4 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:58,227 | server.py:125 | fit progress: (4, 0.8339195185901231, {'accuracy': 0.5985}, 0.8873217179971107)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,228 | server.py:173 | evaluate_round 4: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,269 | server.py:187 | evaluate_round 4 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,270 | server.py:222 | fit_round 5: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,393 | server.py:236 | fit_round 5 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:58,410 | server.py:125 | fit progress: (5, 0.8298454078879945, {'accuracy': 0.5985}, 1.0702042109987815)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,411 | server.py:173 | evaluate_round 5: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,450 | server.py:187 | evaluate_round 5 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,451 | server.py:222 | fit_round 6: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,583 | server.py:236 | fit_round 6 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:58,599 | server.py:125 | fit progress: (6, 0.8262496644413463, {'accuracy': 0.601}, 1.2589246989991807)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,600 | server.py:173 | evaluate_round 6: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,643 | server.py:187 | evaluate_round 6 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,644 | server.py:222 | fit_round 7: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,784 | server.py:236 | fit_round 7 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:58,799 | server.py:125 | fit progress: (7, 0.8238137372923169, {'accuracy': 0.6033}, 1.4590888329985319)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,800 | server.py:173 | evaluate_round 7: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,844 | server.py:187 | evaluate_round 7 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,844 | server.py:222 | fit_round 8: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:58,984 | server.py:236 | fit_round 8 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:58,999 | server.py:125 | fit progress: (8, 0.8215765911995971, {'accuracy': 0.6029}, 1.6588715069992759)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,000 | server.py:173 | evaluate_round 8: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,043 | server.py:187 | evaluate_round 8 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,044 | server.py:222 | fit_round 9: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,164 | server.py:236 | fit_round 9 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:59,183 | server.py:125 | fit progress: (9, 0.8203075558228026, {'accuracy': 0.6051}, 1.84342240299884)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,184 | server.py:173 | evaluate_round 9: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,227 | server.py:187 | evaluate_round 9 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,227 | server.py:222 | fit_round 10: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,346 | server.py:236 | fit_round 10 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:59,361 | server.py:125 | fit progress: (10, 0.8188432108241436, {'accuracy': 0.6051}, 2.021139995998965)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,362 | server.py:173 | evaluate_round 10: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,401 | server.py:187 | evaluate_round 10 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,401 | server.py:222 | fit_round 11: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,529 | server.py:236 | fit_round 11 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:59,556 | server.py:125 | fit progress: (11, 0.8183961418063227, {'accuracy': 0.6069}, 2.216024674999062)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,557 | server.py:173 | evaluate_round 11: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,614 | server.py:187 | evaluate_round 11 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,615 | server.py:222 | fit_round 12: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,771 | server.py:236 | fit_round 12 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:36:59,795 | server.py:125 | fit progress: (12, 0.8173649318808403, {'accuracy': 0.6063}, 2.455360143998405)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,799 | server.py:173 | evaluate_round 12: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,849 | server.py:187 | evaluate_round 12 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,850 | server.py:222 | fit_round 13: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:36:59,992 | server.py:236 | fit_round 13 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:37:00,010 | server.py:125 | fit progress: (13, 0.8171334738580605, {'accuracy': 0.6067}, 2.6704305579987704)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:37:00,011 | server.py:173 | evaluate_round 13: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:37:00,049 | server.py:187 | evaluate_round 13 received 3 results and 0 failures
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:37:00,049 | server.py:222 | fit_round 14: strategy sampled 3 clients (out of 3)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:37:00,178 | server.py:236 | fit_round 14 received 3 results and 0 failures
FedTrimmedAvg Server | INFO flwr 2024-03-10 12:37:00,194 | server.py:125 | fit progress: (14, 0.8163824550196643, {'accuracy': 0.6057}, 2.8540922639986093)
FedTrimmedAvg Server | DEBUG flwr 2024-03-10 12:37:00,195 | server.py:173 | evaluate_round 14: strategy sampled 3 clients (out of 3)
