FedAvg Server | INFO flwr 2024-03-10 12:42:55,153 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
FedAvg Server | INFO flwr 2024-03-10 12:42:55,166 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
FedAvg Server | INFO flwr 2024-03-10 12:42:55,167 | server.py:89 | Initializing global parameters
FedAvg Server | INFO flwr 2024-03-10 12:42:55,167 | server.py:276 | Requesting initial parameters from one random client
FedAvg Server | INFO flwr 2024-03-10 12:42:58,321 | server.py:280 | Received initial parameters from one random client
FedAvg Server | INFO flwr 2024-03-10 12:42:58,321 | server.py:91 | Evaluating initial parameters
FedAvg Server | INFO flwr 2024-03-10 12:42:58,342 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedAvg Server | INFO flwr 2024-03-10 12:42:58,343 | server.py:104 | FL starting
FedAvg Server | DEBUG flwr 2024-03-10 12:42:58,850 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 3)
FedAvg Server | DEBUG flwr 2024-03-10 12:42:58,927 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedAvg Server | WARNING flwr 2024-03-10 12:42:58,929 | krum.py:153 | No fit_metrics_aggregation_fn provided
FedAvg Server | INFO flwr 2024-03-10 12:42:58,954 | server.py:125 | fit progress: (1, 0.9451654366382849, {'accuracy': 0.573}, 0.6112123149978288)
FedAvg Server | DEBUG flwr 2024-03-10 12:42:58,957 | server.py:173 | evaluate_round 1: strategy sampled 3 clients (out of 3)
FedAvg Server | DEBUG flwr 2024-03-10 12:42:59,020 | server.py:187 | evaluate_round 1 received 3 results and 0 failures
FedAvg Server | WARNING flwr 2024-03-10 12:42:59,021 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedAvg Server | DEBUG flwr 2024-03-10 12:42:59,021 | server.py:222 | fit_round 2: strategy sampled 3 clients (out of 3)
FedAvg Server | DEBUG flwr 2024-03-10 12:42:59,153 | server.py:236 | fit_round 2 received 3 results and 0 failures
FedAvg Server | INFO flwr 2024-03-10 12:42:59,179 | server.py:125 | fit progress: (2, 0.8539447263082944, {'accuracy': 0.5957}, 0.8358246030002192)
FedAvg Server | DEBUG flwr 2024-03-10 12:42:59,182 | server.py:173 | evaluate_round 2: strategy sampled 3 clients (out of 3)
FedAvg Server | DEBUG flwr 2024-03-10 12:42:59,240 | server.py:187 | evaluate_round 2 received 3 results and 0 failures
FedAvg Server | DEBUG flwr 2024-03-10 12:42:59,241 | server.py:222 | fit_round 3: strategy sampled 3 clients (out of 3)
FedAvg Server | DEBUG flwr 2024-03-10 12:42:59,396 | server.py:236 | fit_round 3 received 3 results and 0 failures
FedAvg Server | INFO flwr 2024-03-10 12:42:59,414 | server.py:125 | fit progress: (3, 0.8445941179745451, {'accuracy': 0.5933}, 1.070584572997177)
FedAvg Server | DEBUG flwr 2024-03-10 12:42:59,414 | server.py:173 | evaluate_round 3: strategy sampled 3 clients (out of 3)
FedAvg Server | DEBUG flwr 2024-03-10 12:42:59,457 | server.py:187 | evaluate_round 3 received 3 results and 0 failures
FedAvg Server | DEBUG flwr 2024-03-10 12:42:59,458 | server.py:222 | fit_round 4: strategy sampled 3 clients (out of 3)
FedAvg Server | DEBUG flwr 2024-03-10 12:42:59,575 | server.py:236 | fit_round 4 received 3 results and 0 failures
FedAvg Server | INFO flwr 2024-03-10 12:42:59,598 | server.py:125 | fit progress: (4, 0.8372828091553393, {'accuracy': 0.6015}, 1.2551046070002485)
