Krum Server | INFO flwr 2024-03-10 15:10:32,464 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
Krum Server | INFO flwr 2024-03-10 15:10:32,473 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
Krum Server | INFO flwr 2024-03-10 15:10:32,474 | server.py:89 | Initializing global parameters
Krum Server | INFO flwr 2024-03-10 15:10:32,474 | server.py:276 | Requesting initial parameters from one random client
Krum Server | INFO flwr 2024-03-10 15:12:09,715 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
Krum Server | INFO flwr 2024-03-10 15:12:09,724 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
Krum Server | INFO flwr 2024-03-10 15:12:09,725 | server.py:89 | Initializing global parameters
Krum Server | INFO flwr 2024-03-10 15:12:09,725 | server.py:276 | Requesting initial parameters from one random client
Krum Server | INFO flwr 2024-03-10 15:12:14,328 | server.py:280 | Received initial parameters from one random client
Krum Server | INFO flwr 2024-03-10 15:12:14,328 | server.py:91 | Evaluating initial parameters
Krum Server | INFO flwr 2024-03-10 15:12:14,353 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
Krum Server | INFO flwr 2024-03-10 15:12:14,354 | server.py:104 | FL starting
Krum Server | DEBUG flwr 2024-03-10 15:12:14,609 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:14,707 | server.py:236 | fit_round 1 received 2 results and 0 failures
Krum Server | WARNING flwr 2024-03-10 15:12:14,709 | krum.py:153 | No fit_metrics_aggregation_fn provided
Krum Server | INFO flwr 2024-03-10 15:12:14,742 | server.py:125 | fit progress: (1, 0.944096258360114, {'accuracy': 0.5708}, 0.3878753049975785)
Krum Server | DEBUG flwr 2024-03-10 15:12:14,746 | server.py:173 | evaluate_round 1: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:14,812 | server.py:187 | evaluate_round 1 received 3 results and 0 failures
Krum Server | WARNING flwr 2024-03-10 15:12:14,812 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
Krum Server | DEBUG flwr 2024-03-10 15:12:14,813 | server.py:222 | fit_round 2: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:14,934 | server.py:236 | fit_round 2 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:14,951 | server.py:125 | fit progress: (2, 0.8472788097026892, {'accuracy': 0.5964}, 0.5968131739973614)
Krum Server | DEBUG flwr 2024-03-10 15:12:14,952 | server.py:173 | evaluate_round 2: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:15,002 | server.py:187 | evaluate_round 2 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:15,003 | server.py:222 | fit_round 3: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:15,134 | server.py:236 | fit_round 3 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:15,151 | server.py:125 | fit progress: (3, 0.8409639260102109, {'accuracy': 0.5943}, 0.7972780889977003)
Krum Server | DEBUG flwr 2024-03-10 15:12:15,152 | server.py:173 | evaluate_round 3: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:15,198 | server.py:187 | evaluate_round 3 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:15,198 | server.py:222 | fit_round 4: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:15,326 | server.py:236 | fit_round 4 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:15,343 | server.py:125 | fit progress: (4, 0.8330915252908883, {'accuracy': 0.6017}, 0.9889506749968859)
Krum Server | DEBUG flwr 2024-03-10 15:12:15,344 | server.py:173 | evaluate_round 4: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:15,390 | server.py:187 | evaluate_round 4 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:15,390 | server.py:222 | fit_round 5: strategy sampled 3 clients (out of 3)
